,Unnamed: 0,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage
51,16272,27.7,327.0,111.0,-1880.0,326.0,318.0,3.0,0.0703,6.29,4.0,0.0317,1.58
52,15907,28.7,327.0,86.0,300.0,326.0,320.0,3.0,0.089,9.72,4.0,0.0448,1.51
53,6494,29.7,325.0,2.0,176.0,323.0,317.0,6.0,0.0992,7.97,4.0,0.109,13.5
54,24533,29.7,327.0,38.0,-1570.0,325.0,318.0,3.0,0.0613,2.99,2.5,0.0989,10.5
55,17675,29.7,327.0,37.0,-2010.0,326.0,321.0,3.0,0.0517,5.23,3.0,0.106,10.8
56,14765,29.7,326.0,29.0,-638.0,325.0,321.0,3.0,0.089,9.68,4.0,0.0291,1.74
57,8903,28.7,324.0,80.0,1990.0,323.0,315.0,12.0,0.125,22.5,4.0,0.0857,5.5
58,14075,28.4,327.0,96.0,-1220.0,325.0,318.0,3.0,0.0256,1.94,3.0,0.0139,1.88
59,7358,119.0,327.0,2.0,306.0,326.0,328.0,20.0,0.0199,1.28,4.0,0.0171,1.35
60,8076,29.7,324.0,42.0,-1450.0,322.0,314.0,15.0,0.0624,2.13,4.0,0.134,25.8
61,21340,27.5,327.0,122.0,-486.0,326.0,319.0,3.0,0.107,8.24,2.5,0.126,7.27
62,16327,27.7,327.0,2.0,-201.0,326.0,321.0,3.0,0.0876,11.1,4.0,0.0388,4.47
63,9151,29.7,324.0,44.0,1130.0,323.0,321.0,12.0,0.071,6.39,4.0,0.111,21.3
64,10744,29.5,326.0,30.0,-220.0,325.0,321.0,3.0,0.0878,6.92,4.0,0.114,11.4
65,11166,28.5,326.0,79.0,-267.0,325.0,323.0,3.0,0.0764,9.6,4.0,0.0877,5.38
66,23895,29.1,327.0,96.0,-899.0,326.0,321.0,3.0,0.0265,1.99,2.5,0.0243,2.34
67,4838,119.0,328.0,0.0,-1510.0,326.0,327.0,6.0,0.0223,0.253,3.0,0.0152,1.92
68,10192,28.5,327.0,71.0,-1020.0,325.0,323.0,3.0,0.088,10.9,4.0,0.0195,1.82
69,20480,42.8,325.0,52.0,-350.0,324.0,316.0,50.0,0.0522,1.56,3.0,0.0238,1.59
70,11665,28.5,327.0,81.0,-53.5,325.0,318.0,3.0,0.107,9.13,4.0,0.0995,7.89
71,10921,29.5,327.0,36.0,228.0,326.0,323.0,3.0,0.0477,5.17,4.0,0.104,8.39
72,8210,29.7,323.0,46.0,-1390.0,323.0,315.0,15.0,0.102,26.3,4.0,0.0285,1.72
73,15323,29.7,326.0,28.0,-675.0,325.0,321.0,3.0,0.0734,9.2,4.0,0.101,7.98
74,19903,29.7,327.0,20.0,-1930.0,326.0,323.0,6.0,0.0992,14.8,3.0,0.0654,3.72
75,13898,27.5,326.0,128.0,1780.0,325.0,319.0,3.0,0.0728,7.74,3.0,0.0477,2.41
76,13424,27.5,327.0,111.0,339.0,326.0,323.0,3.0,0.0675,5.09,3.0,0.0226,2.19
77,502,28.5,326.0,67.0,-2140.0,324.0,315.0,6.0,0.0416,4.74,4.0,0.0878,14.1
78,16797,27.7,327.0,97.0,-1260.0,326.0,319.0,3.0,0.0841,9.43,3.0,0.0269,2.49
79,18344,29.7,327.0,37.0,-2130.0,326.0,321.0,3.0,0.1,10.8,3.0,0.0453,7.39
80,16337,55.7,330.0,2.0,42.0,329.0,330.0,50.0,0.0474,6.1,4.0,0.0306,2.35
81,23184,28.7,327.0,2.0,1250.0,326.0,316.0,3.0,0.0769,9.3,2.5,0.0275,1.06
82,8978,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.0562,3.65,4.0,0.022,2.05
83,12324,27.5,327.0,102.0,-707.0,325.0,317.0,3.0,0.0726,8.56,3.0,0.0737,4.65
84,157,29.5,325.0,27.0,307.0,323.0,321.0,6.0,0.0537,7.24,4.0,0.131,15.2
85,16144,27.7,327.0,111.0,-2000.0,326.0,319.0,3.0,0.0974,9.2,4.0,0.0232,3.07
86,24593,27.7,327.0,122.0,1740.0,326.0,324.0,3.0,0.0775,7.94,2.5,0.106,10.0
87,9880,119.0,330.0,0.0,-1960.0,329.0,330.0,50.0,0.0212,1.02,4.0,0.0181,2.62
88,2988,119.0,330.0,2.0,339.0,329.0,329.0,6.0,0.0175,3.21,3.0,0.0354,2.04
89,10815,29.5,327.0,26.0,-812.0,325.0,324.0,3.0,0.0566,6.49,4.0,0.0953,10.4
90,22494,28.5,327.0,68.0,-1210.0,325.0,318.0,3.0,0.0643,4.04,2.5,0.127,12.1
91,14062,28.5,327.0,59.0,-188.0,326.0,323.0,3.0,0.104,9.72,3.0,0.0998,7.08
92,2027,27.5,325.0,2.0,2030.0,324.0,319.0,20.0,0.124,33.7,4.0,0.022,0.387
93,23645,28.7,327.0,87.0,-1380.0,326.0,318.0,3.0,0.118,11.2,2.5,0.0479,2.62
94,3831,28.5,327.0,67.0,-1470.0,325.0,318.0,6.0,0.0638,4.63,3.0,0.105,12.4
95,18610,28.7,327.0,60.0,-277.0,326.0,318.0,3.0,0.0803,8.04,3.0,0.0624,4.29
96,3198,39.7,329.0,7.0,339.0,327.0,329.0,50.0,0.13,31.1,3.0,0.198,48.1
97,14920,29.7,327.0,19.0,-1740.0,325.0,324.0,3.0,0.0601,8.86,4.0,0.0927,8.47
98,7470,46.0,323.0,52.0,881.0,322.0,313.0,50.0,0.0541,2.1,4.0,0.0179,0.991
99,16166,27.7,327.0,120.0,-1090.0,325.0,322.0,3.0,0.0954,11.0,4.0,0.14,11.7
100,21123,29.5,327.0,37.0,463.0,326.0,319.0,3.0,0.083,6.65,2.5,0.132,10.9
101,8240,28.7,324.0,88.0,-524.0,322.0,318.0,15.0,0.0537,8.38,4.0,0.108,24.8
102,13829,28.5,327.0,82.0,2050.0,325.0,318.0,3.0,0.0801,7.95,3.0,0.112,8.19
103,24741,28.7,327.0,87.0,-1290.0,326.0,320.0,3.0,0.108,11.5,2.5,0.0511,2.41
104,17635,27.7,327.0,126.0,1620.0,326.0,324.0,3.0,0.0484,6.46,3.0,0.0859,8.54
105,17123,30.1,327.0,95.0,-1340.0,326.0,323.0,3.0,0.0198,1.02,3.0,0.0294,0.891
106,8735,27.7,324.0,116.0,-1420.0,323.0,321.0,12.0,0.119,21.0,4.0,0.0526,4.72
107,12117,27.5,327.0,119.0,894.0,326.0,320.0,3.0,0.0876,9.94,3.0,0.0763,6.63
108,1456,119.0,328.0,2.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
109,15017,28.7,327.0,68.0,-1410.0,326.0,323.0,3.0,0.0475,3.06,4.0,0.0613,9.48
110,9849,27.5,327.0,105.0,2020.0,326.0,316.0,3.0,0.0709,7.83,4.0,0.095,4.61
111,10651,27.5,327.0,2.0,-198.0,326.0,322.0,3.0,0.101,9.58,4.0,0.0402,1.19
112,13793,27.5,327.0,108.0,-50.2,325.0,322.0,3.0,0.0531,0.431,3.0,0.103,12.3
113,16852,119.0,329.0,0.0,42.0,328.0,329.0,50.0,0.0186,1.16,3.0,0.0175,1.58
114,16043,29.7,327.0,2.0,-1420.0,326.0,324.0,3.0,0.0407,5.22,4.0,0.133,12.5
115,10629,27.5,327.0,118.0,-1120.0,326.0,323.0,3.0,0.0659,3.97,4.0,0.0603,2.7
116,1407,27.5,327.0,128.0,2070.0,324.0,319.0,20.0,0.0571,5.78,4.0,0.267,24.8
117,21747,29.5,327.0,45.0,1310.0,326.0,324.0,3.0,0.0969,10.6,2.5,0.0364,1.4
118,24826,38.7,327.0,54.0,-382.0,326.0,321.0,3.0,0.0301,2.54,2.5,0.0185,3.17
119,8617,119.0,328.0,0.0,383.0,326.0,327.0,50.0,0.0218,1.27,4.0,0.0246,0.412
120,11624,30.3,327.0,12.0,-1960.0,326.0,321.0,3.0,0.0256,3.83,4.0,0.017,4.36
121,14937,28.7,327.0,63.0,-2000.0,326.0,317.0,3.0,0.0555,3.35,4.0,0.0863,9.79
122,13199,29.5,326.0,16.0,320.0,325.0,318.0,3.0,0.0809,9.55,3.0,0.086,9.43
123,5528,28.7,325.0,2.0,1740.0,324.0,316.0,6.0,0.117,11.7,4.0,0.0815,10.9
124,16300,27.7,327.0,101.0,1270.0,326.0,322.0,3.0,0.0879,11.0,4.0,0.0848,7.79
125,11644,32.4,327.0,54.0,1600.0,326.0,319.0,3.0,0.0245,2.02,4.0,0.0218,0.468
126,11654,28.5,327.0,77.0,-491.0,325.0,322.0,3.0,0.0711,8.08,4.0,0.0987,9.95
127,15918,29.7,327.0,40.0,376.0,325.0,321.0,3.0,0.0737,9.34,4.0,0.0882,6.18
128,13688,29.5,327.0,41.0,-1490.0,326.0,323.0,3.0,0.0577,0.82,3.0,0.101,10.9
129,21236,27.5,327.0,124.0,-252.0,326.0,324.0,3.0,0.0436,2.92,2.5,0.0549,7.57
130,22481,28.5,327.0,87.0,719.0,326.0,321.0,3.0,0.107,11.1,2.5,0.0414,5.19
131,23450,28.7,327.0,63.0,621.0,325.0,321.0,3.0,0.0987,10.5,2.5,0.128,8.01
132,1542,27.5,326.0,106.0,1710.0,324.0,319.0,20.0,0.0975,20.7,4.0,0.15,28.0
133,14579,29.7,327.0,34.0,-136.0,325.0,322.0,3.0,0.0521,6.86,4.0,0.0515,3.32
134,478,28.5,326.0,65.0,2020.0,324.0,316.0,6.0,0.101,14.3,4.0,0.0749,5.15
135,21755,29.5,327.0,28.0,-321.0,326.0,324.0,3.0,0.117,10.6,2.5,0.0267,1.59
136,17950,28.7,327.0,82.0,2000.0,326.0,317.0,3.0,0.0967,7.24,3.0,0.0773,9.76
137,12521,29.5,327.0,40.0,-1590.0,326.0,322.0,3.0,0.0736,12.5,3.0,0.0786,6.96
138,18725,28.7,327.0,79.0,1740.0,326.0,321.0,3.0,0.0821,9.19,3.0,0.108,7.38
139,6272,28.7,325.0,65.0,1420.0,323.0,315.0,6.0,0.0909,12.1,4.0,0.156,9.91
140,21280,29.5,327.0,45.0,1190.0,326.0,319.0,3.0,0.0815,6.65,2.5,0.066,8.01
141,540,28.5,326.0,72.0,-1940.0,325.0,320.0,6.0,0.101,13.0,4.0,0.0626,9.41
142,15986,28.7,327.0,86.0,460.0,326.0,322.0,3.0,0.0842,11.8,4.0,0.0445,3.69
143,24994,55.7,330.0,0.0,-1730.0,329.0,330.0,50.0,0.063,4.09,2.5,0.0305,1.91
144,576,28.5,325.0,77.0,-1750.0,324.0,318.0,6.0,0.153,11.8,4.0,0.0544,3.9
145,9420,119.0,327.0,0.0,383.0,326.0,327.0,50.0,0.0217,0.546,4.0,0.0223,1.14
146,19915,27.7,327.0,2.0,-1310.0,325.0,322.0,6.0,0.0459,3.13,3.0,0.0834,13.4
147,17819,27.7,327.0,101.0,-895.0,326.0,323.0,3.0,0.0778,9.09,3.0,0.065,3.13
148,6138,29.7,325.0,22.0,-598.0,323.0,320.0,6.0,0.0444,3.0,4.0,0.339,24.0
149,3829,28.5,327.0,67.0,-1480.0,325.0,319.0,6.0,0.0661,4.81,3.0,0.0915,13.3
150,17705,27.7,327.0,119.0,817.0,326.0,319.0,3.0,0.119,7.16,3.0,0.0946,7.53
151,19973,28.7,327.0,68.0,377.0,326.0,322.0,6.0,0.0593,6.23,3.0,0.116,16.0
152,5960,119.0,328.0,0.0,-978.0,326.0,327.0,50.0,0.0249,0.66,4.0,0.0264,1.71
153,8073,29.7,324.0,42.0,-1470.0,322.0,313.0,15.0,0.0507,1.43,4.0,0.162,27.6
154,13360,27.5,327.0,111.0,158.0,325.0,322.0,3.0,0.0846,7.18,3.0,0.0726,7.07
155,19733,55.7,330.0,0.0,-927.0,328.0,329.0,50.0,0.0414,4.11,3.0,0.0259,1.61
156,18325,29.7,327.0,26.0,1200.0,325.0,323.0,3.0,0.0532,4.88,3.0,0.0636,7.73
157,11555,74.7,329.0,7.0,-1960.0,327.0,329.0,50.0,0.124,30.1,4.0,0.207,49.6
158,16084,29.7,326.0,29.0,-542.0,325.0,321.0,3.0,0.104,10.9,4.0,0.0228,2.53
159,4508,119.0,329.0,0.0,-486.0,328.0,329.0,6.0,0.0173,1.93,2.5,0.0171,4.65
160,24278,55.7,330.0,0.0,-1760.0,328.0,329.0,50.0,0.0676,3.36,2.5,0.0308,0.508
161,344,29.5,326.0,47.0,1310.0,325.0,323.0,6.0,0.044,7.66,4.0,0.117,18.2
162,19529,70.0,328.0,2.0,2150.0,327.0,329.0,50.0,0.134,30.4,3.0,0.204,48.4
163,22652,55.5,330.0,0.0,389.0,329.0,330.0,50.0,0.069,6.28,2.5,0.027,1.05
164,8651,27.7,324.0,119.0,-1380.0,323.0,314.0,12.0,0.0809,21.6,4.0,0.128,15.4
165,4661,29.5,326.0,26.0,146.0,324.0,316.0,6.0,0.063,5.58,2.5,0.142,15.3
166,24428,27.7,327.0,96.0,-872.0,326.0,320.0,3.0,0.126,11.7,2.5,0.0193,2.44
167,24932,27.7,327.0,107.0,259.0,326.0,318.0,3.0,0.066,3.56,2.5,0.0583,9.71
168,7610,27.7,324.0,98.0,1640.0,322.0,320.0,20.0,0.106,24.6,4.0,0.12,25.0
169,18482,28.7,327.0,60.0,-149.0,326.0,318.0,3.0,0.0817,9.81,3.0,0.075,3.49
170,18449,27.7,327.0,109.0,-95.3,326.0,322.0,3.0,0.0598,6.17,3.0,0.0657,12.9
171,5422,28.7,325.0,76.0,1880.0,324.0,321.0,6.0,0.089,14.0,4.0,0.0587,1.68
172,3182,27.5,326.0,2.0,408.0,325.0,322.0,6.0,0.0425,5.53,3.0,0.134,15.0
173,14792,28.7,327.0,86.0,343.0,326.0,319.0,3.0,0.0803,8.9,4.0,0.0423,1.74
174,2506,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
175,7462,29.7,323.0,2.0,838.0,323.0,315.0,20.0,0.161,31.3,4.0,0.114,13.7
176,4597,119.0,329.0,2.0,339.0,328.0,329.0,50.0,0.023,0.421,2.5,0.0263,0.259
177,19740,27.7,327.0,126.0,-1220.0,325.0,323.0,6.0,0.0932,11.8,3.0,0.118,6.15
178,8151,55.7,327.0,0.0,383.0,326.0,327.0,50.0,0.0506,2.49,4.0,0.0211,0.908
179,7188,27.7,324.0,107.0,1800.0,323.0,321.0,20.0,0.0417,2.73,4.0,0.0538,20.8
180,3504,27.5,326.0,111.0,510.0,325.0,318.0,6.0,0.0981,14.2,3.0,0.0161,0.877
181,2255,119.0,328.0,0.0,-1160.0,332.0,332.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
182,24359,28.7,327.0,59.0,136.0,326.0,323.0,3.0,0.0931,10.3,2.5,0.114,9.44
183,11083,27.5,327.0,101.0,1280.0,326.0,324.0,3.0,0.0965,9.06,4.0,0.0768,10.4
184,13253,33.2,327.0,96.0,-1300.0,326.0,320.0,3.0,0.0257,1.52,3.0,0.0157,0.4
185,17213,29.7,327.0,21.0,614.0,325.0,321.0,3.0,0.0911,9.83,3.0,0.0914,8.11
186,1509,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
187,16204,28.7,327.0,59.0,1850.0,326.0,318.0,3.0,0.0974,6.64,4.0,0.0918,8.93
188,3563,28.5,327.0,70.0,-1290.0,325.0,318.0,6.0,0.0972,13.5,3.0,0.016,2.06
189,24839,29.7,327.0,2.0,-644.0,326.0,323.0,3.0,0.0922,10.5,2.5,0.0375,3.87
190,15594,29.7,327.0,16.0,-1910.0,326.0,324.0,3.0,0.0787,7.74,4.0,0.0662,7.61
191,8704,27.7,324.0,125.0,-1210.0,322.0,314.0,12.0,0.0549,3.75,4.0,0.17,24.2
192,3830,28.5,326.0,67.0,-1480.0,325.0,319.0,6.0,0.0636,4.74,3.0,0.131,15.9
193,19385,55.7,329.0,0.0,-927.0,328.0,329.0,50.0,0.0434,3.99,3.0,0.0253,1.92
194,12637,29.5,327.0,29.0,1650.0,326.0,323.0,3.0,0.068,8.13,3.0,0.0263,1.42
195,14584,27.7,327.0,2.0,-527.0,325.0,320.0,3.0,0.0586,3.15,4.0,0.106,10.9
196,6652,62.2,327.0,0.0,306.0,326.0,327.0,50.0,0.0316,2.49,4.0,0.0519,3.26
197,2686,119.0,329.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
198,24013,55.7,330.0,0.0,-1720.0,328.0,330.0,50.0,0.0604,2.6,2.5,0.0299,1.51
199,18287,29.7,327.0,30.0,1760.0,325.0,321.0,3.0,0.0793,9.25,3.0,0.107,9.63
200,9394,28.7,324.0,83.0,2090.0,323.0,321.0,12.0,0.041,2.95,4.0,0.163,22.9
201,14981,28.7,327.0,84.0,130.0,326.0,319.0,3.0,0.0668,1.27,4.0,0.0777,10.3
202,15173,28.7,327.0,68.0,-1450.0,325.0,323.0,3.0,0.0466,4.79,4.0,0.144,11.9
203,10775,29.5,327.0,21.0,-1400.0,326.0,318.0,3.0,0.0478,8.84,4.0,0.0967,10.1
204,20540,29.7,327.0,41.0,-483.0,325.0,324.0,20.0,0.0269,2.38,3.0,0.0931,1.27
205,4040,28.5,326.0,74.0,-1160.0,325.0,323.0,6.0,0.108,15.0,3.0,0.0206,3.25
206,7151,119.0,328.0,0.0,306.0,327.0,327.0,20.0,0.0203,1.43,4.0,0.0161,1.01
207,7160,29.7,324.0,2.0,566.0,323.0,320.0,20.0,0.0875,29.6,4.0,0.0189,2.19
208,17082,29.7,327.0,45.0,-1150.0,326.0,320.0,3.0,0.065,10.4,3.0,0.0441,5.46
209,12350,29.5,327.0,35.0,2100.0,326.0,319.0,3.0,0.0983,9.77,3.0,0.0731,3.67
210,21462,55.7,330.0,0.0,-1720.0,329.0,330.0,50.0,0.0231,0.892,2.5,0.0231,1.12
211,17259,28.7,327.0,62.0,123.0,326.0,317.0,3.0,0.0295,2.78,3.0,0.107,11.2
212,9516,119.0,328.0,0.0,383.0,327.0,327.0,50.0,0.0211,1.6,4.0,0.0278,1.58
213,4082,27.5,327.0,2.0,87.9,325.0,319.0,6.0,0.0577,4.89,3.0,0.0907,12.3
214,21383,27.5,327.0,126.0,-156.0,326.0,324.0,3.0,0.0518,4.8,2.5,0.0455,6.6
215,24042,29.7,327.0,27.0,1720.0,326.0,323.0,3.0,0.0367,6.72,2.5,0.11,12.7
216,14004,28.5,327.0,71.0,1170.0,325.0,323.0,3.0,0.0875,10.1,3.0,0.0911,9.33
217,23268,29.7,327.0,42.0,-1170.0,325.0,318.0,3.0,0.0649,2.21,2.5,0.115,10.2
218,12537,29.5,327.0,19.0,645.0,326.0,322.0,3.0,0.0714,8.79,3.0,0.0621,6.86
219,24116,55.7,330.0,0.0,-1720.0,329.0,330.0,50.0,0.0529,3.36,2.5,0.0253,0.916
220,17690,32.1,327.0,55.0,-683.0,326.0,321.0,3.0,0.0272,2.68,3.0,0.0187,2.08
221,18633,27.7,327.0,97.0,-1220.0,326.0,318.0,3.0,0.0779,6.76,3.0,0.0152,0.943
222,13837,27.5,327.0,117.0,702.0,326.0,324.0,3.0,0.0842,7.63,3.0,0.122,8.91
223,5998,119.0,328.0,2.0,-978.0,326.0,328.0,50.0,0.0203,1.17,4.0,0.0219,1.93
224,17110,27.7,327.0,122.0,1120.0,326.0,324.0,3.0,0.0943,10.4,3.0,0.0805,6.48
225,18237,29.7,327.0,26.0,1280.0,325.0,319.0,3.0,0.0733,4.66,3.0,0.101,9.3
226,12313,27.5,327.0,128.0,1830.0,326.0,322.0,3.0,0.0936,10.6,3.0,0.0385,4.22
227,22159,29.5,327.0,23.0,-796.0,326.0,324.0,3.0,0.0995,11.0,2.5,0.0828,5.74
228,1959,119.0,325.0,0.0,905.0,327.0,323.0,50.0,2.78e-19,0.0,4.0,2.69e-19,0.0
229,5527,27.7,325.0,120.0,-394.0,324.0,320.0,6.0,0.105,9.41,4.0,0.144,14.6
230,2464,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
231,17457,28.7,327.0,81.0,1780.0,326.0,319.0,3.0,0.0974,7.7,3.0,0.0922,6.32
232,9983,27.5,327.0,2.0,-897.0,325.0,319.0,3.0,0.0849,12.3,4.0,0.0904,5.78
233,3865,55.5,329.0,0.0,1550.0,328.0,329.0,50.0,0.0446,5.64,3.0,0.0323,1.47
234,24107,29.7,327.0,37.0,-1740.0,326.0,324.0,3.0,0.0999,10.2,2.5,0.0975,7.14
235,22684,28.5,327.0,85.0,570.0,326.0,319.0,3.0,0.0979,9.46,2.5,0.129,6.47
236,19416,28.7,327.0,73.0,607.0,326.0,324.0,6.0,0.0392,4.91,3.0,0.134,15.6
237,15072,28.7,327.0,2.0,-1290.0,326.0,318.0,3.0,0.105,9.62,4.0,0.0255,1.62
238,10309,27.5,327.0,105.0,1750.0,326.0,317.0,3.0,0.0735,4.85,4.0,0.116,8.41
239,15249,28.7,327.0,71.0,-1120.0,325.0,323.0,3.0,0.0704,9.73,4.0,0.0227,1.2
240,17159,28.7,327.0,2.0,128.0,325.0,316.0,3.0,0.0491,4.88,3.0,0.0905,10.9
241,19796,55.7,330.0,0.0,-927.0,328.0,330.0,50.0,0.0388,6.64,3.0,0.0362,2.48
242,5867,29.7,325.0,17.0,-854.0,323.0,316.0,6.0,0.0967,13.3,4.0,0.0174,0.43
243,12339,28.5,327.0,61.0,-33.7,326.0,324.0,3.0,0.0622,9.43,3.0,0.06,6.35
244,18100,28.7,327.0,77.0,1500.0,326.0,322.0,3.0,0.0933,8.04,3.0,0.0867,7.9
245,15082,28.7,327.0,71.0,-1240.0,326.0,323.0,3.0,0.091,9.33,4.0,0.0227,2.52
