,worn
15553,1
15584,1
17464,1
4019,0
5811,1
4380,0
17253,1
18311,1
10195,0
16189,1
21184,0
981,0
22075,0
1535,0
20483,1
7365,1
13263,0
785,0
16275,1
12226,0
841,0
24220,1
375,0
13352,0
11479,0
17076,1
19187,1
5819,1
15429,1
23285,1
24442,1
17479,1
4471,0
7438,1
7318,1
21159,0
2434,0
23276,1
11550,0
2915,0
21126,0
3012,0
12570,0
21398,0
24636,1
2972,0
21238,0
24527,1
7459,1
21881,0
7994,1
23151,1
169,0
15283,1
284,0
2071,0
73,0
24748,1
186,0
12509,0
7140,1
24788,1
6838,1
6748,1
15591,1
24379,1
9919,0
1474,0
1560,0
17443,1
17455,1
24800,1
3396,0
18062,1
22672,0
15063,1
19548,1
15288,1
17315,1
6713,1
2119,0
10946,0
4397,0
16105,1
8549,1
4570,0
17757,1
20600,1
22537,0
17004,1
16145,1
4516,0
10794,0
13316,0
9010,1
10231,0
7278,1
24645,1
18487,1
18559,1
13964,0
9402,1
23901,1
13905,0
16997,1
8008,1
4675,0
16062,1
15068,1
5916,1
5666,1
11135,0
14922,1
22498,0
14515,1
9904,0
18598,1
24035,1
17221,1
4002,0
19730,1
9113,1
13891,0
16298,1
16831,1
14933,1
5984,1
3696,0
1520,0
11130,0
6619,1
3606,0
36,0
8388,1
2244,0
16844,1
7196,1
8958,1
5468,1
24173,1
16102,1
24538,1
15380,1
18590,1
18210,1
21237,0
10106,0
5578,1
17325,1
12514,0
22464,0
10724,0
10093,0
22044,0
15592,1
12163,0
9089,1
19390,1
17403,1
24344,1
14866,1
8582,1
22080,0
9110,1
2504,0
19943,1
11482,0
1339,0
10614,0
17834,1
7569,1
9525,1
2653,0
3431,0
9988,0
10018,0
9120,1
21405,0
12144,0
3161,0
935,0
10598,0
5420,1
6359,1
13418,0
23580,1
14639,1
11749,0
2878,0
24011,1
15199,1
5868,1
18700,1
15921,1
14676,1
18391,1
7912,1
14634,1
25010,1
11195,0
18659,1
15016,1
9419,1
5884,1
7377,1
24494,1
4376,0
10090,0
10234,0
315,0
1483,0
14602,1
5903,1
486,0
25058,1
24710,1
11477,0
24616,1
19577,1
20023,1
12682,0
6735,1
3139,0
3150,0
15154,1
6380,1
21981,0
16274,1
8111,1
15357,1
640,0
727,0
24795,1
16332,1
21313,0
1550,0
2247,0
17974,1
22641,0
19286,1
15167,1
4593,0
8106,1
19743,1
3118,0
23542,1
12139,0
24488,1
17859,1
22428,0
10780,0
22161,0
2926,0
24879,1
577,0
11765,0
16804,1
16267,1
18038,1
4586,0
11723,0
14783,1
21927,0
24791,1
6230,1
5882,1
7258,1
441,0
4357,0
18478,1
17338,1
19380,1
3564,0
17661,1
21382,0
8411,1
15497,1
23568,1
18775,1
9507,1
22425,0
66,0
7627,1
10896,0
13854,0
1285,0
10968,0
21143,0
3108,0
12422,0
11065,0
5572,1
20536,1
18464,1
2689,0
8340,1
15096,1
21233,0
7193,1
18405,1
5476,1
8290,1
118,0
13863,0
22612,0
14534,1
14950,1
13738,0
1578,0
2174,0
5369,1
19939,1
24931,1
11519,0
13998,0
11192,0
19460,1
23548,1
13285,0
20517,1
2021,0
7303,1
6806,1
21170,0
13919,0
9203,1
17485,1
11718,0
9131,1
18297,1
23312,1
5902,1
5401,1
18484,1
16887,1
14046,0
7777,1
6480,1
14613,1
16159,1
7815,1
23919,1
23506,1
748,0
14748,1
16357,1
8563,1
18131,1
3082,0
15256,1
10725,0
8555,1
19324,1
11480,0
13946,0
17944,1
17801,1
18203,1
6792,1
9942,0
13768,0
8382,1
16952,1
15913,1
15232,1
10906,0
9475,1
13488,0
9015,1
16809,1
19919,1
14730,1
11573,0
9003,1
10283,0
10167,0
6866,1
6347,1
8762,1
8913,1
8771,1
19185,1
9019,1
3407,0
10944,0
19287,1
9472,1
19291,1
3978,0
3594,0
18282,1
6307,1
8993,1
10905,0
18011,1
18283,1
13772,0
18254,1
20445,1
1458,0
175,0
9449,1
6227,1
18349,1
439,0
4500,0
8214,1
9016,1
9972,0
4127,0
13497,0
17167,1
7067,1
19871,1
7288,1
24640,1
17855,1
14984,1
18522,1
18561,1
3863,0
17152,1
14997,1
1408,0
2009,0
17125,1
24075,1
2881,0
3607,0
22708,0
9959,0
20024,1
24567,1
15065,1
388,0
17261,1
15496,1
19463,1
13455,0
13257,0
8699,1
24368,1
7339,1
17252,1
7314,1
10130,0
21815,0
1652,0
10017,0
7887,1
1465,0
12460,0
22743,0
9881,0
3852,0
10803,0
23294,1
305,0
18105,1
25025,1
156,0
12646,0
24129,1
13558,0
15165,1
24917,1
24678,1
121,0
21822,0
20032,1
9087,1
17492,1
2050,0
24296,1
21832,0
11715,0
21132,0
12383,0
19263,1
17810,1
19216,1
943,0
6301,1
6678,1
5986,1
21273,0
11446,0
14598,1
18765,1
6780,1
21392,0
2921,0
22506,0
1584,0
2908,0
3121,0
24427,1
2000,0
18014,1
12413,0
18467,1
21211,0
24238,1
18771,1
482,0
22066,0
13667,0
5421,1
5535,1
4112,0
17934,1
17437,1
24263,1
19813,1
953,0
23415,1
21969,0
4702,0
5644,1
15996,1
8331,1
921,0
6655,1
9090,1
14548,1
4629,0
13673,0
9905,0
24043,1
21489,0
18355,1
5548,1
8625,1
22121,0
21964,0
893,0
18665,1
21819,0
5813,1
16369,1
24462,1
12662,0
24751,1
6354,1
15205,1
24697,1
11455,0
18321,1
10267,0
1281,0
24953,1
11689,0
21333,0
10931,0
14575,1
14511,1
850,0
18652,1
13163,0
18129,1
4091,0
19334,1
17732,1
12518,0
11571,0
9962,0
6236,1
5654,1
8949,1
24455,1
15485,1
22441,0
8112,1
1011,0
17837,1
736,0
24850,1
8975,1
20522,1
17679,1
16903,1
3623,0
2897,0
4791,0
7190,1
14935,1
10818,0
9901,0
11499,0
21812,0
21737,0
6411,1
13517,0
6085,1
7986,1
1039,0
21476,0
11448,0
18373,1
14931,1
4394,0
15413,1
18299,1
24855,1
12274,0
7547,1
7181,1
23610,1
17340,1
23429,1
16117,1
18434,1
15307,1
24376,1
18055,1
2933,0
24097,1
23591,1
6300,1
17203,1
10177,0
5394,1
14520,1
287,0
2251,0
9442,1
6745,1
9194,1
11745,0
14671,1
2649,0
14973,1
17700,1
45,0
201,0
14835,1
4363,0
19526,1
2263,0
18335,1
17049,1
17471,1
18589,1
24450,1
17808,1
4511,0
6586,1
24326,1
285,0
17766,1
6714,1
12134,0
23373,1
13786,0
4670,0
13706,0
24288,1
24649,1
24134,1
13969,0
23128,1
16957,1
24312,1
19868,1
13207,0
22683,0
8751,1
17948,1
22012,0
17201,1
17792,1
6455,1
3878,0
421,0
9171,1
18778,1
8739,1
403,0
9552,1
734,0
3911,0
18331,1
8727,1
7060,1
19361,1
5824,1
6592,1
14946,1
9571,1
13139,0
23363,1
23536,1
17344,1
9530,1
18455,1
18258,1
11406,0
15465,1
4693,0
15511,1
7441,1
2826,0
22533,0
8016,1
9056,1
16922,1
25061,1
17677,1
19833,1
12644,0
461,0
8255,1
7824,1
24106,1
592,0
1246,0
23410,1
21290,0
6402,1
3360,0
15296,1
24531,1
24329,1
15043,1
5448,1
17681,1
17354,1
24721,1
24537,1
8773,1
8136,1
13800,0
8963,1
19373,1
11081,0
10180,0
14923,1
24000,1
18217,1
10159,0
9487,1
9570,1
22015,0
17317,1
16180,1
24981,1
6420,1
21720,0
15208,1
7177,1
9193,1
22386,0
2169,0
24109,1
22729,0
520,0
21904,0
24112,1
23328,1
15467,1
1503,0
4067,0
16964,1
24887,1
5338,1
24688,1
16953,1
19182,1
18269,1
17968,1
9941,0
21717,0
16325,1
22587,0
20046,1
5610,1
13679,0
16119,1
21787,0
15215,1
22116,0
7802,1
17158,1
6010,1
11712,0
13472,0
11567,0
17216,1
114,0
14780,1
20604,1
1038,0
18722,1
24954,1
5403,1
12458,0
8879,1
1321,0
1044,0
21744,0
18423,1
17969,1
10628,0
2655,0
18128,1
16030,1
6357,1
780,0
15409,1
1497,0
2102,0
3986,0
21214,0
2684,0
13939,0
9485,1
17719,1
15423,1
5938,1
21265,0
3901,0
24720,1
24548,1
2857,0
12320,0
19446,1
14114,0
11049,0
6738,1
23348,1
13140,0
12685,0
11589,0
14637,1
2957,0
10761,0
6639,1
22421,0
10913,0
12160,0
7429,1
22074,0
12595,0
24727,1
14664,1
1517,0
8118,1
1614,0
12162,0
21538,0
13133,0
11209,0
14005,0
19402,1
9078,1
18577,1
18124,1
3467,0
687,0
7344,1
7148,1
643,0
1343,0
3164,0
12552,0
19458,1
13342,0
18303,1
11011,0
13515,0
543,0
17059,1
19207,1
2507,0
19429,1
2020,0
12546,0
1478,0
680,0
24877,1
17475,1
15558,1
24480,1
19917,1
14501,1
16045,1
17648,1
5601,1
4714,0
70,0
7816,1
10035,0
23976,1
11542,0
22653,0
11034,0
4802,0
24581,1
1347,0
4440,0
22671,0
18586,1
23472,1
2924,0
17141,1
9969,0
15309,1
7396,1
1958,0
223,0
4848,0
5381,1
13518,0
22549,0
2068,0
18798,1
17292,1
15541,1
14040,0
13681,0
17251,1
13709,0
10762,0
4595,0
203,0
7755,1
25032,1
9106,1
4855,0
24897,1
14093,0
4681,0
12265,0
16961,1
12649,0
10677,0
8068,1
2819,0
984,0
325,0
1305,0
18752,1
13963,0
14137,0
18761,1
7335,1
6859,1
24102,1
24324,1
23403,1
21338,0
5805,1
10805,0
12418,0
24237,1
116,0
8401,1
12499,0
7859,1
17971,1
2257,0
3390,0
22407,0
4688,0
17652,1
19906,1
21234,0
17387,1
13494,0
17715,1
23934,1
7235,1
1513,0
14049,0
15174,1
9209,1
17656,1
24322,1
8664,1
17442,1
17742,1
10875,0
8698,1
19193,1
16976,1
19259,1
22209,0
16341,1
7633,1
24119,1
15389,1
2579,0
10071,0
7382,1
13948,0
384,0
13859,0
11097,0
13187,0
5965,1
9329,1
8646,1
24725,1
18018,1
13389,0
3078,0
15361,1
20494,1
530,0
8616,1
13715,0
10379,0
22046,0
17714,1
15360,1
6605,1
14510,1
9336,1
4502,0
7584,1
13417,0
1360,0
18374,1
6692,1
10270,0
11494,0
381,0
6868,1
9153,1
24790,1
2076,0
16893,1
9574,1
3663,0
7411,1
13836,0
18072,1
1580,0
22446,0
3946,0
5356,1
18581,1
10657,0
19265,1
11088,0
19441,1
9436,1
23554,1
19763,1
7359,1
6324,1
10704,0
4562,0
21176,0
4584,0
10032,0
21278,0
974,0
16314,1
11399,0
24665,1
9337,1
16009,1
15936,1
24057,1
2912,0
6824,1
22635,0
19574,1
2064,0
2084,0
18016,1
22410,0
3123,0
21710,0
13172,0
8363,1
15036,1
21957,0
22659,0
16837,1
10753,0
9070,1
1522,0
11095,0
1957,0
14781,1
15984,1
18357,1
19156,1
7821,1
23470,1
7746,1
21199,0
18197,1
23923,1
4789,0
2814,0
10300,0
2007,0
24754,1
21836,0
24493,1
6805,1
16291,1
24916,1
19872,1
18320,1
1480,0
9006,1
10892,0
11490,0
13205,0
23549,1
18379,1
12325,0
14503,1
3574,0
24188,1
13803,0
1523,0
8164,1
11553,0
12576,0
18517,1
10339,0
3957,0
17727,1
12151,0
8914,1
13343,0
2047,0
15968,1
4854,0
7305,1
2156,0
22155,0
5390,1
3341,0
16908,1
11744,0
23214,1
6259,1
2495,0
4522,0
2449,0
2147,0
4561,0
24523,1
7153,1
17074,1
19480,1
12278,0
10557,0
7257,1
14811,1
10764,0
1992,0
10113,0
11056,0
19271,1
21947,0
6041,1
365,0
14870,1
16285,1
4611,0
9065,1
10298,0
13838,0
7854,1
13576,0
9950,0
19581,1
13505,0
2569,0
15927,1
10000,0
4016,0
6047,1
1655,0
17917,1
21304,0
21467,0
5430,1
7879,1
615,0
4418,0
10848,0
256,0
24121,1
13819,0
8534,1
10754,0
19200,1
19757,1
6421,1
12172,0
3113,0
24291,1
20409,1
24221,1
2153,0
16799,1
21163,0
24009,1
10034,0
22206,0
24149,1
19420,1
3052,0
14553,1
6864,1
23921,1
6309,1
19949,1
16891,1
17377,1
19273,1
23618,1
11500,0
390,0
844,0
17310,1
20571,1
23913,1
18738,1
13325,0
10857,0
6289,1
24161,1
4733,0
16793,1
8025,1
5492,1
8317,1
24685,1
236,0
31,0
21949,0
19365,1
24380,1
19288,1
17327,1
6501,1
12370,0
13195,0
25020,1
15954,1
16121,1
1014,0
22713,0
14960,1
10292,0
6036,1
9165,1
21260,0
3408,0
1441,0
7772,1
8072,1
954,0
10809,0
19807,1
5451,1
11543,0
5489,1
8385,1
12495,0
19289,1
18704,1
7199,1
21793,0
18304,1
23261,1
8763,1
16335,1
595,0
5560,1
6657,1
23335,1
17375,1
15089,1
5524,1
269,0
7322,1
13213,0
13397,0
1969,0
6661,1
395,0
18024,1
15573,1
565,0
23560,1
19531,1
8670,1
7734,1
9159,1
8655,1
1589,0
5449,1
5465,1
18500,1
15196,1
18635,1
3406,0
21436,0
24733,1
6785,1
3998,0
6118,1
13370,0
9252,1
11565,0
10126,0
98,0
17350,1
24972,1
6314,1
4523,0
18396,1
5854,1
18250,1
22508,0
16800,1
3943,0
17211,1
1954,0
10596,0
10306,0
17399,1
23227,1
22728,0
6067,1
12679,0
21513,0
6684,1
2480,0
15289,1
7831,1
17135,1
15979,1
3875,0
3692,0
8108,1
9215,1
24101,1
7404,1
7066,1
12110,0
13194,0
3347,0
676,0
4451,0
8705,1
23137,1
1475,0
6685,1
16141,1
9191,1
2530,0
16863,1
7773,1
15916,1
11466,0
13925,0
1361,0
10884,0
16805,1
6771,1
4448,0
10915,0
11637,0
3523,0
1490,0
14043,0
5696,1
16896,1
8235,1
9474,1
12502,0
4046,0
23444,1
8055,1
3464,0
4668,0
24736,1
24271,1
5404,1
6757,1
21422,0
4086,0
21166,0
9155,1
6477,1
10175,0
23601,1
8019,1
23643,1
22484,0
4824,0
19407,1
22560,0
12401,0
13693,0
7729,1
3079,0
19248,1
2638,0
5475,1
19725,1
19912,1
4572,0
10592,0
2081,0
10127,0
8322,1
7304,1
21473,0
14659,1
14879,1
3049,0
21430,0
2966,0
456,0
10321,0
10131,0
10256,0
24865,1
10333,0
19426,1
23582,1
2627,0
3007,0
5637,1
19555,1
12122,0
15999,1
12316,0
22715,0
278,0
13742,0
21765,0
5484,1
14670,1
7053,1
13250,0
17098,1
12567,0
12563,0
16142,1
18112,1
10286,0
5831,1
4074,0
17474,1
5991,1
10079,0
211,0
19481,1
13507,0
9547,1
11486,0
15983,1
18050,1
17688,1
18397,1
11530,0
6444,1
14667,1
5948,1
2651,0
10181,0
14805,1
20486,1
4056,0
872,0
17947,1
22553,0
8242,1
22736,0
21874,0
25007,1
623,0
11415,0
13339,0
24297,1
10254,0
3605,0
10552,0
6222,1
17932,1
11743,0
11132,0
25076,1
12598,0
7717,1
8641,1
10961,0
8693,1
13130,0
11591,0
19918,1
15547,1
9893,0
10735,0
10285,0
9461,1
17865,1
13737,0
6760,1
15473,1
13780,0
420,0
23248,1
6361,1
7927,1
20599,1
5930,1
10970,0
21806,0
4024,0
11407,0
6473,1
12636,0
6275,1
10969,0
18351,1
9177,1
3895,0
430,0
15586,1
3681,0
3988,0
21528,0
13790,0
18677,1
22483,0
16081,1
3651,0
20012,1
63,0
11548,0
13751,0
9492,1
12272,0
10068,0
11560,0
11156,0
17290,1
21448,0
7370,1
24171,1
16833,1
1602,0
1310,0
938,0
8800,1
18628,1
711,0
2486,0
1377,0
7738,1
13954,0
21920,0
18201,1
7312,1
23178,1
13470,0
19908,1
3022,0
14554,1
8397,1
257,0
3584,0
11638,0
21519,0
7745,1
12542,0
6636,1
2201,0
18737,1
21860,0
24156,1
2470,0
24580,1
23230,1
23579,1
8391,1
19579,1
6761,1
17426,1
516,0
3058,0
13193,0
12642,0
4521,0
21883,0
2134,0
5829,1
10618,0
1461,0
22087,0
10097,0
22590,0
15574,1
17467,1
4042,0
19214,1
1340,0
17706,1
3630,0
22582,0
19870,1
15345,1
10174,0
17996,1
3372,0
5343,1
23359,1
17300,1
6609,1
15990,1
7051,1
2041,0
24860,1
24155,1
10858,0
21122,0
11214,0
8674,1
16153,1
13487,0
13500,0
2825,0
21491,0
4037,0
24285,1
664,0
8262,1
15581,1
12239,0
14710,1
13831,0
19857,1
14956,1
8005,1
3882,0
4496,0
10911,0
1364,0
9852,0
4417,0
13132,0
179,0
24859,1
12541,0
7639,1
17208,1
9309,1
14084,0
24293,1
4644,0
2964,0
3427,0
7293,1
20558,1
2055,0
2609,0
5600,1
11409,0
340,0
11578,0
19350,1
17342,1
761,0
24086,1
18057,1
971,0
17311,1
21805,0
8288,1
8677,1
24873,1
14723,1
22175,0
14806,1
24939,1
24603,1
10600,0
